view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,金融,assistant_random1k,U03,事实与数值,987,231,0.23404255319148937,0.2086900034079902,0.2614573945212045,
all,金融,assistant_random1k,U04,解释与介绍,987,90,0.0911854103343465,0.07477568836410545,0.11076516902419961,
all,金融,assistant_random1k,U05,核实与动态,987,107,0.10840932117527863,0.09050969039658971,0.12934543074487226,
all,金融,assistant_random1k,U06,办事与操作,987,108,0.1094224924012158,0.09144028437556595,0.1304333228690229,
all,金融,assistant_random1k,U07,个案判断与建议,987,241,0.24417426545086118,0.21839830407196045,0.271933954888503,
all,金融,assistant_random1k,U08,清单与推荐,987,80,0.08105369807497467,0.0656069450196786,0.09974905133735769,
all,金融,assistant_random1k,U09,获取现成内容,987,12,0.0121580547112462,0.0069683380428229875,0.021130603301585643,
all,金融,assistant_random1k,U10,生成与编辑,987,1,0.0010131712259371835,0.0001788673925609877,0.005716726817451995,
all,金融,assistant_random1k,U11,会话与系统指令,987,9,0.00911854103343465,0.004804558194385939,0.01723892484064206,
all,金融,assistant_random1k,U12,违规或灰色内容,987,3,0.00303951367781155,0.0010342169923891007,0.008898349423877636,
all,金融,assistant_random1k,U13,无法判定,987,74,0.07497467071935157,0.06014205530535263,0.0931030244329224,
all,医疗,search_top1000,U01,导航直达,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.0007707072487611884
all,医疗,search_top1000,U02,裸实体,1000,44,0.044,0.03293803969043349,0.058552091820354674,0.04148549660183716
all,医疗,search_top1000,U03,事实与数值,1000,33,0.033,0.023592783250793958,0.045981540028894805,0.03631284642654288
all,医疗,search_top1000,U04,解释与介绍,1000,784,0.784,0.7574329030779414,0.8083934185249888,0.7915442544607008
all,医疗,search_top1000,U05,核实与动态,1000,7,0.007,0.0033948250792319975,0.01437849692694906,0.0081673423820436
all,医疗,search_top1000,U06,办事与操作,1000,40,0.04,0.02951080927390945,0.05400993742556984,0.03215279001899837
all,医疗,search_top1000,U07,个案判断与建议,1000,57,0.057,0.04425323441955428,0.07313739772798773,0.05087206455530094
all,医疗,search_top1000,U08,清单与推荐,1000,12,0.012,0.006877579092159561,0.020857473928157594,0.008436649235168537
all,医疗,search_top1000,U09,获取现成内容,1000,20,0.02,0.012983581129037627,0.03069024151389728,0.020007540591887498
all,医疗,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,医疗,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,医疗,search_top1000,U12,违规或灰色内容,1000,0,0.0,0.0,0.003826898586390522,0.0
all,医疗,search_top1000,U13,无法判定,1000,2,0.002,0.000548632102457155,0.007262958889587807,0.010250308478759034
all,医疗,search_top10k,U01,导航直达,9998,30,0.0030006001200240046,0.0021026947903309097,0.004280289719241807,0.0020832305318266744
all,医疗,search_top10k,U02,裸实体,9998,1229,0.1229245849169834,0.11663270624579986,0.12950612482706977,0.09172339229803753
all,医疗,search_top10k,U03,事实与数值,9998,473,0.047309461892378474,0.043319007718334565,0.05164766321954552,0.04269336171390928
all,医疗,search_top10k,U04,解释与介绍,9998,6070,0.6071214242848569,0.5975086247935223,0.6166519353977128,0.6780145449811712
all,医疗,search_top10k,U05,核实与动态,9998,259,0.02590518103620724,0.02296873340713494,0.029205818127454455,0.01803943238592105
all,医疗,search_top10k,U06,办事与操作,9998,589,0.05891178235647129,0.054463509060314226,0.0636988901522468,0.04817293002246241
all,医疗,search_top10k,U07,个案判断与建议,9998,811,0.08111622324464893,0.07592412132045187,0.08663010269365368,0.07028877415227397
all,医疗,search_top10k,U08,清单与推荐,9998,227,0.022704540908181636,0.01996276982390317,0.025812960117670796,0.017621826265485748
all,医疗,search_top10k,U09,获取现成内容,9998,280,0.028005601120224044,0.024948329292513453,0.03142544891249232,0.02498859023277845
all,医疗,search_top10k,U10,生成与编辑,9998,0,0.0,0.0,0.0003840892661207512,0.0
all,医疗,search_top10k,U11,会话与系统指令,9998,0,0.0,0.0,0.0003840892661207512,0.0
all,医疗,search_top10k,U12,违规或灰色内容,9998,6,0.000600120024004801,0.0002750647407098215,0.0013088035741013228,0.00034022898639602463
all,医疗,search_top10k,U13,无法判定,9998,24,0.002400480096019204,0.0016136900245078574,0.0035695154363744666,0.006033688429737626
all,医疗,assistant_top1k,U01,导航直达,958,10,0.010438413361169102,0.005679625568108352,0.019107823841440993,0.008597936647988786
all,医疗,assistant_top1k,U02,裸实体,958,203,0.21189979123173278,0.18719865744973316,0.23890227226676067,0.19186270802537747
all,医疗,assistant_top1k,U03,事实与数值,958,45,0.04697286012526096,0.035288877981278506,0.06227562744248357,0.051484490483447734
all,医疗,assistant_top1k,U04,解释与介绍,958,345,0.36012526096033404,0.330341363203361,0.39102647948508157,0.31365853472214267
all,医疗,assistant_top1k,U05,核实与动态,958,15,0.015657620041753653,0.009511269453352565,0.025672902243941455,0.02202767687647771
all,医疗,assistant_top1k,U06,办事与操作,958,84,0.08768267223382047,0.07137925941963277,0.10727967984853778,0.09959244787190565
all,医疗,assistant_top1k,U07,个案判断与建议,958,78,0.081419624217119,0.06572743757804364,0.1004554349448333,0.0985382361816147
all,医疗,assistant_top1k,U08,清单与推荐,958,23,0.024008350730688934,0.01605037896890853,0.035768548388776966,0.04587730656552346
all,医疗,assistant_top1k,U09,获取现成内容,958,22,0.022964509394572025,0.01521349049470148,0.03452609240543508,0.04294384794906171
all,医疗,assistant_top1k,U10,生成与编辑,958,13,0.013569937369519834,0.007947200162196775,0.023078282619999377,0.010381693384821644
all,医疗,assistant_top1k,U11,会话与系统指令,958,2,0.0020876826722338203,0.000572692718093295,0.0075800010310645705,0.003842525218959004
all,医疗,assistant_top1k,U12,违规或灰色内容,958,3,0.003131524008350731,0.0010655406340600929,0.009166497572646707,0.0022841253289637023
all,医疗,assistant_top1k,U13,无法判定,958,115,0.12004175365344467,0.10096327469583809,0.14215534275634945,0.10890847074371579
all,医疗,assistant_random1k,U01,导航直达,998,1,0.001002004008016032,0.00017689566411348105,0.005653966220639558,
all,医疗,assistant_random1k,U02,裸实体,998,19,0.01903807615230461,0.0122212963235922,0.029543389830386638,
all,医疗,assistant_random1k,U03,事实与数值,998,87,0.0871743486973948,0.07121769819713397,0.10629699075169788,
all,医疗,assistant_random1k,U04,解释与介绍,998,225,0.22545090180360722,0.20060567648282546,0.2524016651967375,
all,医疗,assistant_random1k,U05,核实与动态,998,94,0.09418837675350701,0.07759034600419679,0.11389860793822285,
